prompt,uniqueness,image_similarity,text_similarity,hardness,mistakenness,evaluation,metadata,added_by
Filepath starts with '/Users',N,N,N,N,N,N,N,Jacob
On the 24th of the month,N,N,N,N,N,N,N,Jacob
most similar to the first image created in 2022,N,Y,N,N,N,N,N,Jacob
Predictions with confidence > 0.95,N,N,N,N,N,N,N,Jacob
Most incorrect predictions of cats,N,N,N,N,Y,N,N,Jacob
All labels with the 'error' tag,N,N,N,N,N,N,N,Jacob
images with either a cat or a dog,N,N,N,N,N,Y,N,Jacob
predicted bounding boxes larger than 96**2 pixels,N,N,N,N,N,N,Y,Jacob
most unique incorrect predictions,Y,N,N,N,Y,N,N,Jacob
13 most unique Images,Y,N,N,N,N,N,N,Jacob
shuffle,N,N,N,N,N,N,N,Jacob
Last 10 images,N,N,N,N,N,N,N,Jacob
Rainiest images,N,N,Y,N,N,N,N,Jacob
Most distinct,Y,N,N,N,N,N,N,Jacob
Most mistaken samples with at least 3 predictions,N,N,N,N,Y,N,N,Jacob
a boy playing with a dog,N,N,Y,N,N,N,N,Jacob
Contains a cat and a dog prediction,N,N,N,N,N,N,N,Jacob
15 most wrong predictions,N,N,N,N,Y,N,N,Jacob
unique,Y,N,N,N,N,N,N,Jacob
3 most unique,Y,N,N,N,N,N,N,Jacob
wrong,N,N,N,N,Y,Y,N,Jacob
20 most unique incorrect predictions,Y,N,N,N,N,N,N,Jacob
2 most unique images that are similar to image with ID 'abc123',Y,Y,N,N,N,N,N,Jacob
least unique images,Y,N,N,N,N,N,N,Jacob
Least correct predictions from model 'model1',N,N,N,N,Y,Y,N,Jacob
Cloudy or night,N,Y,N,N,N,N,N,Jacob
Images that most resemble the first image,N,Y,N,N,N,N,N,Jacob
"10 Most similar images to the third image, with sim2",N,Y,N,N,N,N,N,Jacob
FP dog detections,N,N,N,N,N,Y,N,Jacob
Images with the most false negatives,N,N,N,N,N,Y,N,Jacob
Show the hardest false positives on validation split,N,N,N,Y,N,Y,N,Jacob
sort by sample hardness,N,N,N,Y,N,N,N,Jacob
show the most difficult samples to classify,N,N,N,Y,N,N,N,Jacob
