query,intent,added_by
nkduabvieufbvef,invalid,Jacob
what is the meaning of life?,invalid,Jacob
make me a ton of money,invalid,Jacob
4+12**2,invalid,Jacob
I like images and videos,invalid,Jacob
Show me the label mapping,invalid,Jacob
How do I install the FiftyOne library on my system?,documentation,Jacob
Can you explain the main features of the FiftyOne library?,documentation,Jacob
What are some good resources to learn FiftyOne?,documentation,Jacob
How do I load datasets into FiftyOne?,documentation,Jacob
What kind of visualizations can I create using FiftyOne?,documentation,Jacob
How does FiftyOne integrate with PyTorch?,documentation,Jacob
Can I use FiftyOne for annotation tasks?,documentation,Jacob
What is the utility of the FiftyOne App in the FiftyOne library?,documentation,Jacob
How can I export datasets from FiftyOne in a specific format?,documentation,Jacob
What kind of dataset formats are supported by FiftyOne?,documentation,Jacob
How does FiftyOne assist in exploring and debugging my models?,documentation,Jacob
Can I use FiftyOne to compare different models' predictions?,documentation,Jacob
How do I apply transformations to images in a FiftyOne dataset?,documentation,Jacob
Is there a way to handle segmentation masks in FiftyOne?,documentation,Jacob
Can you explain how FiftyOne handles object detection tasks?,documentation,Jacob
Does FiftyOne have features to support video datasets?,documentation,Jacob
How to handle annotations in FiftyOne?,documentation,Jacob
How can FiftyOne assist in finding edge cases and anomalies in my dataset?,documentation,Jacob
What are the benefits of using FiftyOne for my computer vision projects?,documentation,Jacob
What's the weather like in New York?,invalid,Jacob
How do I prepare a chocolate soufflé?,invalid,Jacob
Can you tell me about the history of the Eiffel Tower?,invalid,Jacob
Who won the NBA championship in 2022?,invalid,Jacob
Can you recommend some thriller books?,invalid,Jacob
What's the tallest mountain in the world?,invalid,Jacob
What is the capital of Australia?,invalid,Jacob
What are the symptoms of COVID-19?,invalid,Jacob
How to get to the nearest post office from here?,invalid,Jacob
Tell me a joke,invalid,Jacob
Who invented the light bulb?,invalid,Jacob
Explain the concept of black holes.,invalid,Jacob
Is there a way to just get bounding boxes around the possibly missing and possibly spurious objects in my dataset?,documentation,Jacob
I am storing related sample IDs as StringField objects in a separate field on my data and I want to use them to match sample IDs that are stored as ObjectIdField objects. How do I do this?,documentation,Jacob
what is the dataset zoo?,documentation,
what does the filter_labels view stage do?,documentation,
Is there an equivalent of take for frames in a video dataset,documentation,Jacob
can I sort samples by their filepath?,documentation,Jacob
Is there a way to hide little detection bounding boxes?,documentation,Jacob
how can I create annotation jobs for two users and retrieve/load annotations individually for them?,documentation,Jacob
How do I add instance segmentation masks to my data,documentation,Jacob
can I see the app in a jupyter notebook?,documentation,Jacob
"how do I split this into train, test, and validation splits?",documentation,Jacob
is it possible to color embeddings by tag?,documentation,Jacob
can i concatenate two datasets which are each in coco format?,documentation,Jacob
what i do need to do to export my data?,documentation,Jacob
