query,intent,added_by
nkduabvieufbvef,invalid,Jacob
what is the meaning of life?,invalid,Jacob
make me a ton of money,invalid,Jacob
4+12**2,invalid,Jacob
I like images and videos,invalid,Jacob
Show me the label mapping,invalid,Jacob
a random selection of samples that were predicted as 'building' by modelA or modelB ,invalid,Jacob
samples predicted as blue or green,invalid,Jacob
"sort images by the difference in number of detections between ""gt"" and ""model""",invalid,Jacob
find all incorrect detections using evaluation with iou threshold 0.8,invalid,Jacob
show me all false positives in the open images evaluation,invalid,Jacob
Include only the `mood` attribute (and the default attributes) of each `Detection` in the `ground_truth` field,invalid,Jacob
exclude the tag 'my_tag',invalid,Jacob
create a view that only shows the 'cvat' and 'labelbox' tags,invalid,Jacob
view of samples with non-None 'data_field',invalid,Jacob
On the 24th of the month,invalid,Jacob
Union of the validation and test splits,invalid,Jacob
How do I install the FiftyOne library on my system?,documentation,Jacob
Can you explain the main features of the FiftyOne library?,documentation,Jacob
What are some good resources to learn FiftyOne?,documentation,Jacob
How do I load datasets into FiftyOne?,documentation,Jacob
What kind of visualizations can I create using FiftyOne?,documentation,Jacob
How does FiftyOne integrate with PyTorch?,documentation,Jacob
Can I use FiftyOne for annotation tasks?,documentation,Jacob
What is the utility of the FiftyOne App in the FiftyOne library?,documentation,Jacob
How can I export datasets from FiftyOne in a specific format?,documentation,Jacob
What kind of dataset formats are supported by FiftyOne?,documentation,Jacob
How does FiftyOne assist in exploring and debugging my models?,documentation,Jacob
Can I use FiftyOne to compare different models' predictions?,documentation,Jacob
How do I apply transformations to images in a FiftyOne dataset?,documentation,Jacob
Is there a way to handle segmentation masks in FiftyOne?,documentation,Jacob
Can you explain how FiftyOne handles object detection tasks?,documentation,Jacob
Does FiftyOne have features to support video datasets?,documentation,Jacob
How to handle annotations in FiftyOne?,documentation,Jacob
How can FiftyOne assist in finding edge cases and anomalies in my dataset?,documentation,Jacob
What are the benefits of using FiftyOne for my computer vision projects?,documentation,Jacob
What's the weather like in New York?,invalid,Jacob
How do I prepare a chocolate soufflé?,invalid,Jacob
Can you tell me about the history of the Eiffel Tower?,invalid,Jacob
Who won the NBA championship in 2022?,invalid,Jacob
What are some natural remedies for a headache?,invalid,Jacob
Explain the process of photosynthesis,invalid,Jacob
What are the latest Marvel movies released?,invalid,Jacob
How do I change a car tire?,invalid,Jacob
Give me a brief overview of quantum mechanics.,invalid,Jacob
What is the capital of Australia?,invalid,Jacob
What are the symptoms of COVID-19?,invalid,Jacob
How to get to the nearest post office from here?,invalid,Jacob
Tell me a joke,invalid,Jacob
Who invented the light bulb?,invalid,Jacob
Explain the concept of black holes.,invalid,Jacob
Is there a way to just get bounding boxes around the possibly missing and possibly spurious objects in my dataset?,documentation,Jacob
